lambda      alk
8.87449e-01 5.07037e+00
8.88533e-01 5.05838e+00
8.89618e-01 5.04641e+00
8.90705e-01 5.03445e+00
8.91793e-01 5.02250e+00
8.92882e-01 5.01057e+00
8.93973e-01 4.99865e+00
8.95065e-01 4.98675e+00
8.96158e-01 4.97486e+00
8.97253e-01 4.96299e+00
8.98349e-01 4.95113e+00
8.99446e-01 4.93928e+00
9.00545e-01 4.92745e+00
9.01645e-01 4.91564e+00
9.02746e-01 4.90384e+00
9.03849e-01 4.89206e+00
9.04953e-01 4.88030e+00
9.06058e-01 4.86855e+00
9.07165e-01 4.85682e+00
9.08273e-01 4.84510e+00
9.09382e-01 4.83340e+00
9.10493e-01 4.82173e+00
9.11605e-01 4.81006e+00
9.12719e-01 4.79842e+00
9.13834e-01 4.78679e+00
9.14950e-01 4.77519e+00
9.16067e-01 4.76360e+00
9.17186e-01 4.75203e+00
9.18307e-01 4.74048e+00
9.19428e-01 4.72895e+00
9.20551e-01 4.71744e+00
9.21676e-01 4.70594e+00
9.22802e-01 4.69447e+00
9.23929e-01 4.68302e+00
9.25057e-01 4.67159e+00
9.26187e-01 4.66018e+00
9.27319e-01 4.64880e+00
9.28451e-01 4.63743e+00
9.29585e-01 4.62609e+00
9.30721e-01 4.61476e+00
9.31858e-01 4.60346e+00
9.32996e-01 4.59219e+00
9.34136e-01 4.58093e+00
9.35277e-01 4.56970e+00
9.36419e-01 4.55849e+00
9.37563e-01 4.54730e+00
9.38708e-01 4.53614e+00
9.39855e-01 4.52501e+00
9.41003e-01 4.51389e+00
9.42152e-01 4.50280e+00
9.43303e-01 4.49174e+00
9.44455e-01 4.48070e+00
9.45609e-01 4.46969e+00
9.46764e-01 4.45870e+00
9.47920e-01 4.44774e+00
9.49078e-01 4.43681e+00
9.50237e-01 4.42590e+00
9.51398e-01 4.41502e+00
9.52560e-01 4.40417e+00
9.53724e-01 4.39334e+00
9.54889e-01 4.38254e+00
9.56055e-01 4.37177e+00
9.57223e-01 4.36103e+00
9.58392e-01 4.35032e+00
9.59563e-01 4.33963e+00
9.60735e-01 4.32898e+00
9.61908e-01 4.31835e+00
9.63083e-01 4.30776e+00
9.64260e-01 4.29719e+00
9.65437e-01 4.28665e+00
9.66617e-01 4.27615e+00
9.67797e-01 4.26567e+00
9.68979e-01 4.25523e+00
9.70163e-01 4.24482e+00
9.71348e-01 4.23443e+00
9.72535e-01 4.22408e+00
9.73722e-01 4.21375e+00
9.74912e-01 4.20346e+00
9.76103e-01 4.19320e+00
9.77295e-01 4.18296e+00
9.78489e-01 4.17276e+00
9.79684e-01 4.16259e+00
9.80881e-01 4.15245e+00
9.82079e-01 4.14233e+00
9.83278e-01 4.13225e+00
9.84479e-01 4.12220e+00
9.85682e-01 4.11218e+00
9.86886e-01 4.10218e+00
9.88091e-01 4.09222e+00
9.89298e-01 4.08229e+00
9.90507e-01 4.07239e+00
9.91716e-01 4.06252e+00
9.92928e-01 4.05267e+00
9.94141e-01 4.04286e+00
9.95355e-01 4.03308e+00
9.96571e-01 4.02333e+00
9.97788e-01 4.01360e+00
9.99007e-01 4.00391e+00
1.00023e+00 3.99425e+00
1.00145e+00 3.98461e+00
1.00267e+00 3.97501e+00
1.00390e+00 3.96544e+00
1.00512e+00 3.95589e+00
1.00635e+00 3.94638e+00
1.00758e+00 3.93689e+00
1.00881e+00 3.92744e+00
1.01004e+00 3.91801e+00
1.01128e+00 3.90862e+00
1.01251e+00 3.89925e+00
1.01375e+00 3.88991e+00
1.01499e+00 3.88060e+00
1.01623e+00 3.87133e+00
1.01747e+00 3.86208e+00
1.01871e+00 3.85286e+00
1.01996e+00 3.84367e+00
1.02120e+00 3.83451e+00
1.02245e+00 3.82537e+00
1.02370e+00 3.81627e+00
1.02495e+00 3.80720e+00
1.02620e+00 3.79815e+00
1.02745e+00 3.78914e+00
1.02871e+00 3.78015e+00
1.02996e+00 3.77119e+00
1.03122e+00 3.76226e+00
1.03248e+00 3.75336e+00
1.03374e+00 3.74449e+00
1.03501e+00 3.73565e+00
1.03627e+00 3.72683e+00
1.03754e+00 3.71805e+00
1.03880e+00 3.70929e+00
